14:18:48: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 52] Logger initialized
14:18:48: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (0.0, 0.0, 4.0)
14:18:49: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (0.0, 0.0, 1.0)
14:18:49: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (0.0, 0.0, 0.6666666666666666)
14:18:50: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (0.0, 0.0, 0.5)
14:18:50: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (0.0, 0.0, 0.4)
14:18:51: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (0.0, 0.0, 0.3333333333333333)
14:18:51: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (0.0, 0.0, 0.2857142857142857)
14:18:52: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (0.0, 2.5, 0.25)
14:18:52: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (0.0, 4.444444444444445, 0.2222222222222222)
14:18:53: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (0.0, 6.0, 0.2)
14:18:53: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (1.8181818181818181, 5.454545454545454, 0.18181818181818182)
14:18:54: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (3.3333333333333335, 5.0, 0.16666666666666666)
14:18:54: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (4.615384615384615, 4.615384615384615, 0.15384615384615385)
