17:05:13: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 47] Logger initialized
17:05:13: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
17:05:13: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
17:05:13: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
17:05:13: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
17:05:13: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
17:05:13: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
17:05:13: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
17:05:14: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
17:05:14: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
17:05:14: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
17:05:14: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
17:05:14: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
17:05:15: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
17:05:15: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
17:05:15: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
17:05:15: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
17:05:15: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
17:05:16: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
17:05:16: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
17:05:16: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
17:05:16: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
17:05:16: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
17:05:17: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
17:05:17: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
17:05:17: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
17:05:18: [WARNING] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 135] Did not receive messages, restarting...
17:05:18: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
17:05:19: [WARNING] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 135] Did not receive messages, restarting...
17:05:19: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
17:05:20: [WARNING] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 135] Did not receive messages, restarting...
17:05:20: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
17:05:20: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
17:05:21: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
17:05:21: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
17:05:21: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
17:05:21: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
17:05:21: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
17:05:22: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
17:05:22: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
17:05:22: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
